run_tag,epoch,params_m,latency_ms,avg_psnr,avg_ssim,batch_size,height,width,seed
B+E_rank,56,2.3122,67.41,22.1160,0.9954,1,256,384,123
B+SE_rank,51,2.4644,70.68,21.8722,0.9948,1,256,384,123
B+W_rank,51,1.5007,163.63,21.5906,0.9950,1,256,384,123
B0_rank,40,2.5302,70.99,22.2015,0.9951,1,256,384,123
B+E_rank,57,2.3122,67.41,22.5039,0.9955,1,256,384,123
B+W_rank,52,1.5007,163.63,21.7740,0.9950,1,256,384,123
B+SE_rank,52,2.4644,70.68,21.8945,0.9953,1,256,384,123
B0_rank,41,2.5302,70.99,20.3983,0.9943,1,256,384,123
B+E_rank,58,2.3122,67.41,22.5524,0.9957,1,256,384,123
B+W_rank,53,1.5007,163.63,22.4753,0.9956,1,256,384,123
B+SE_rank,53,2.4644,70.68,21.7627,0.9949,1,256,384,123
B0_rank,42,2.5302,70.99,22.2030,0.9948,1,256,384,123
B+E_rank,59,2.3122,67.41,21.7776,0.9951,1,256,384,123
B+W_rank,54,1.5007,163.63,22.2897,0.9951,1,256,384,123
B+SE_rank,54,2.4644,70.68,17.2927,0.9882,1,256,384,123
B0_rank,43,2.5302,70.99,22.1877,0.9951,1,256,384,123
B+E_rank,60,2.3122,67.41,22.4732,0.9954,1,256,384,123
B+W_rank,55,1.5007,163.63,22.0170,0.9951,1,256,384,123
B+SE_rank,55,2.4644,70.68,22.4824,0.9955,1,256,384,123
B0_rank,44,2.5302,70.99,21.8180,0.9947,1,256,384,123
B+W_rank,56,1.5007,163.63,22.4206,0.9957,1,256,384,123
B+E_rank,61,2.3122,67.41,22.1285,0.9954,1,256,384,123
B+SE_rank,56,2.4644,70.68,21.6346,0.9953,1,256,384,123
B0_rank,45,2.5302,70.99,22.2538,0.9952,1,256,384,123
B+W_rank,57,1.5007,163.63,21.9406,0.9951,1,256,384,123
B+E_rank,62,2.3122,67.41,22.1161,0.9954,1,256,384,123
B+SE_rank,57,2.4644,70.68,21.5298,0.9950,1,256,384,123
B0_rank,46,2.5302,70.99,22.0829,0.9952,1,256,384,123
B+W_rank,58,1.5007,163.63,21.8423,0.9953,1,256,384,123
B+E_rank,63,2.3122,67.41,21.5296,0.9950,1,256,384,123
B+W_rank,59,1.5007,163.63,22.1344,0.9952,1,256,384,123
B+SE_rank,58,2.4644,70.68,21.4892,0.9951,1,256,384,123
B0_rank,47,2.5302,70.99,22.0814,0.9949,1,256,384,123
B+E_rank,64,2.3122,67.41,22.1547,0.9958,1,256,384,123
B+W_rank,60,1.5007,163.63,21.6266,0.9953,1,256,384,123
B0_rank,48,2.5302,70.99,22.3800,0.9949,1,256,384,123
B+SE_rank,59,2.4644,70.68,22.2467,0.9954,1,256,384,123
B+E_rank,65,2.3122,67.41,22.1920,0.9953,1,256,384,123
B+W_rank,61,1.5007,163.63,21.8370,0.9950,1,256,384,123
B0_rank,49,2.5302,70.99,22.0910,0.9947,1,256,384,123
B+SE_rank,60,2.4644,70.68,21.8361,0.9951,1,256,384,123
B+E_rank,66,2.3122,67.41,22.2349,0.9952,1,256,384,123
B+W_rank,62,1.5007,163.63,21.9537,0.9954,1,256,384,123
B0_rank,50,2.5302,70.99,22.2257,0.9954,1,256,384,123
B+E_rank,67,2.3122,67.41,21.9207,0.9955,1,256,384,123
B+SE_rank,61,2.4644,70.68,22.2110,0.9955,1,256,384,123
B+W_rank,63,1.5007,163.63,22.2143,0.9953,1,256,384,123
B0_rank,51,2.5302,70.99,22.1394,0.9949,1,256,384,123
B+E_rank,68,2.3122,67.41,21.9510,0.9955,1,256,384,123
B+SE_rank,62,2.4644,70.68,22.5538,0.9952,1,256,384,123
B+W_rank,64,1.5007,163.63,22.0430,0.9955,1,256,384,123
B0_rank,52,2.5302,70.99,22.5514,0.9955,1,256,384,123
B+E_rank,69,2.3122,67.41,21.4516,0.9953,1,256,384,123
B+SE_rank,63,2.4644,70.68,22.3520,0.9953,1,256,384,123
B+W_rank,65,1.5007,163.63,22.2510,0.9955,1,256,384,123
B0_rank,53,2.5302,70.99,22.1048,0.9945,1,256,384,123
B+E_rank,70,2.3122,67.41,22.2691,0.9955,1,256,384,123
B+W_rank,66,1.5007,163.63,22.0613,0.9955,1,256,384,123
B+SE_rank,64,2.4644,70.68,22.1712,0.9954,1,256,384,123
B0_rank,54,2.5302,70.99,21.8698,0.9949,1,256,384,123
B+E_rank,71,2.3122,67.41,22.4475,0.9956,1,256,384,123
B+W_rank,67,1.5007,163.63,22.3559,0.9955,1,256,384,123
B+SE_rank,65,2.4644,70.68,21.9995,0.9953,1,256,384,123
B+W_rank,68,1.5007,163.63,22.0860,0.9955,1,256,384,123
B+E_rank,72,2.3122,67.41,22.3353,0.9955,1,256,384,123
B0_rank,55,2.5302,70.99,22.1660,0.9953,1,256,384,123
B+SE_rank,66,2.4644,70.68,22.4240,0.9952,1,256,384,123
B+W_rank,69,1.5007,163.63,22.3403,0.9955,1,256,384,123
B+E_rank,73,2.3122,67.41,22.3671,0.9953,1,256,384,123
B0_rank,56,2.5302,70.99,22.1331,0.9947,1,256,384,123
B+SE_rank,67,2.4644,70.68,22.5558,0.9953,1,256,384,123
B+W_rank,70,1.5007,163.63,22.2086,0.9956,1,256,384,123
B+E_rank,74,2.3122,67.41,22.1936,0.9955,1,256,384,123
B0_rank,57,2.5302,70.99,21.1180,0.9940,1,256,384,123
B+SE_rank,68,2.4644,70.68,22.0530,0.9957,1,256,384,123
B+W_rank,71,1.5007,163.63,22.4226,0.9957,1,256,384,123
B+E_rank,75,2.3122,67.41,22.7036,0.9956,1,256,384,123
B0_rank,58,2.5302,70.99,22.4255,0.9954,1,256,384,123
B+SE_rank,69,2.4644,70.68,22.1248,0.9952,1,256,384,123
B+W_rank,72,1.5007,163.63,22.6261,0.9957,1,256,384,123
B+E_rank,76,2.3122,67.41,22.1913,0.9956,1,256,384,123
B0_rank,59,2.5302,70.99,22.0786,0.9951,1,256,384,123
B+W_rank,73,1.5007,163.63,22.0718,0.9955,1,256,384,123
B+SE_rank,70,2.4644,70.68,21.9878,0.9956,1,256,384,123
B+E_rank,77,2.3122,67.41,21.9899,0.9954,1,256,384,123
B0_rank,60,2.5302,70.99,22.5295,0.9955,1,256,384,123
B+W_rank,74,1.5007,163.63,21.7837,0.9953,1,256,384,123
B+SE_rank,71,2.4644,70.68,22.2955,0.9954,1,256,384,123
B+E_rank,78,2.3122,67.41,21.5302,0.9952,1,256,384,123
B0_rank,61,2.5302,70.99,22.2521,0.9950,1,256,384,123
B+W_rank,75,1.5007,163.63,22.2215,0.9955,1,256,384,123
B+SE_rank,72,2.4644,70.68,22.4097,0.9956,1,256,384,123
B+E_rank,79,2.3122,67.41,22.3902,0.9955,1,256,384,123
B0_rank,62,2.5302,70.99,22.3637,0.9949,1,256,384,123
B+W_rank,76,1.5007,163.63,20.7612,0.9938,1,256,384,123
B+SE_rank,73,2.4644,70.68,22.5204,0.9954,1,256,384,123
B+E_rank,80,2.3122,67.41,21.8396,0.9952,1,256,384,123
B0_rank,63,2.5302,70.99,22.3049,0.9952,1,256,384,123
B+W_rank,77,1.5007,163.63,22.1147,0.9954,1,256,384,123
B+E_rank,81,2.3122,67.41,22.5032,0.9956,1,256,384,123
B+SE_rank,74,2.4644,70.68,22.5327,0.9952,1,256,384,123
B+W_rank,78,1.5007,163.63,22.4073,0.9957,1,256,384,123
B0_rank,64,2.5302,70.99,22.1772,0.9948,1,256,384,123
B+E_rank,82,2.3122,67.41,22.0878,0.9955,1,256,384,123
B+W_rank,79,1.5007,163.63,21.7835,0.9952,1,256,384,123
B+SE_rank,75,2.4644,70.68,22.3853,0.9956,1,256,384,123
B0_rank,65,2.5302,70.99,22.5860,0.9953,1,256,384,123
B+W_rank,80,1.5007,163.63,22.2402,0.9958,1,256,384,123
B+E_rank,83,2.3122,67.41,22.3358,0.9955,1,256,384,123
B+SE_rank,76,2.4644,70.68,22.4750,0.9955,1,256,384,123
B0_rank,66,2.5302,70.99,22.5617,0.9954,1,256,384,123
B+W_rank,81,1.5007,163.63,22.1280,0.9958,1,256,384,123
B+E_rank,84,2.3122,67.41,22.4287,0.9955,1,256,384,123
B+SE_rank,77,2.4644,70.68,22.3950,0.9954,1,256,384,123
B0_rank,67,2.5302,70.99,22.6900,0.9955,1,256,384,123
B+W_rank,82,1.5007,163.63,22.1367,0.9955,1,256,384,123
B+E_rank,85,2.3122,67.41,22.2763,0.9955,1,256,384,123
B+SE_rank,78,2.4644,70.68,22.2797,0.9956,1,256,384,123
B0_rank,68,2.5302,70.99,22.2631,0.9949,1,256,384,123
B+W_rank,83,1.5007,163.63,22.3047,0.9957,1,256,384,123
B+E_rank,86,2.3122,67.41,22.5906,0.9957,1,256,384,123
B0_rank,69,2.5302,70.99,22.0669,0.9952,1,256,384,123
B+SE_rank,79,2.4644,70.68,22.8100,0.9954,1,256,384,123
B+W_rank,84,1.5007,163.63,22.1471,0.9956,1,256,384,123
B+E_rank,87,2.3122,67.41,22.5274,0.9956,1,256,384,123
B0_rank,70,2.5302,70.99,22.3863,0.9952,1,256,384,123
B+SE_rank,80,2.4644,70.68,22.5874,0.9957,1,256,384,123
B+W_rank,85,1.5007,163.63,22.2050,0.9959,1,256,384,123
B+E_rank,88,2.3122,67.41,22.4809,0.9956,1,256,384,123
B+W_rank,86,1.5007,163.63,22.1943,0.9956,1,256,384,123
B0_rank,71,2.5302,70.99,22.3526,0.9954,1,256,384,123
B+SE_rank,81,2.4644,70.68,22.9016,0.9958,1,256,384,123
B+E_rank,89,2.3122,67.41,22.4269,0.9956,1,256,384,123
B+W_rank,87,1.5007,163.63,22.2607,0.9955,1,256,384,123
B0_rank,72,2.5302,70.99,22.2291,0.9951,1,256,384,123
B+SE_rank,82,2.4644,70.68,22.5995,0.9956,1,256,384,123
B+E_rank,90,2.3122,67.41,22.4500,0.9957,1,256,384,123
B+W_rank,88,1.5007,163.63,22.1568,0.9955,1,256,384,123
B0_rank,73,2.5302,70.99,22.7414,0.9955,1,256,384,123
B+SE_rank,83,2.4644,70.68,22.2433,0.9954,1,256,384,123
B+E_rank,91,2.3122,67.41,22.5105,0.9957,1,256,384,123
B+W_rank,89,1.5007,163.63,22.2318,0.9957,1,256,384,123
B0_rank,74,2.5302,70.99,22.3413,0.9954,1,256,384,123
B+SE_rank,84,2.4644,70.68,22.6744,0.9959,1,256,384,123
B+E_rank,92,2.3122,67.41,22.4461,0.9957,1,256,384,123
B+W_rank,90,1.5007,163.63,22.1667,0.9956,1,256,384,123
B0_rank,75,2.5302,70.99,22.7352,0.9954,1,256,384,123
B+SE_rank,85,2.4644,70.68,22.5578,0.9957,1,256,384,123
B+E_rank,93,2.3122,67.41,22.5423,0.9957,1,256,384,123
B+W_rank,91,1.5007,163.63,22.3228,0.9957,1,256,384,123
B0_rank,76,2.5302,70.99,22.5385,0.9953,1,256,384,123
B+SE_rank,86,2.4644,70.68,22.6004,0.9957,1,256,384,123
B+W_rank,92,1.5007,163.63,22.1635,0.9957,1,256,384,123
B+E_rank,94,2.3122,67.41,22.5405,0.9957,1,256,384,123
B0_rank,77,2.5302,70.99,22.4177,0.9952,1,256,384,123
B+W_rank,93,1.5007,163.63,22.1869,0.9956,1,256,384,123
B+E_rank,95,2.3122,67.41,22.4615,0.9957,1,256,384,123
B+SE_rank,87,2.4644,70.68,22.6275,0.9958,1,256,384,123
B0_rank,78,2.5302,70.99,22.6568,0.9956,1,256,384,123
B+W_rank,94,1.5007,163.63,22.2785,0.9957,1,256,384,123
B+E_rank,96,2.3122,67.41,22.5322,0.9958,1,256,384,123
B+SE_rank,88,2.4644,70.68,22.5361,0.9958,1,256,384,123
B0_rank,79,2.5302,70.99,22.5082,0.9955,1,256,384,123
B+W_rank,95,1.5007,163.63,22.1791,0.9956,1,256,384,123
B+E_rank,97,2.3122,67.41,22.5052,0.9957,1,256,384,123
B+SE_rank,89,2.4644,70.68,22.4520,0.9957,1,256,384,123
B+W_rank,96,1.5007,163.63,22.2098,0.9956,1,256,384,123
B0_rank,80,2.5302,70.99,22.1647,0.9952,1,256,384,123
B+E_rank,98,2.3122,67.41,22.4673,0.9957,1,256,384,123
B+SE_rank,90,2.4644,70.68,22.5631,0.9958,1,256,384,123
B+W_rank,97,1.5007,163.63,22.2512,0.9956,1,256,384,123
B0_rank,81,2.5302,70.99,22.5957,0.9954,1,256,384,123
B+E_rank,99,2.3122,67.41,22.5704,0.9957,1,256,384,123
B+SE_rank,91,2.4644,70.68,22.5426,0.9957,1,256,384,123
B+W_rank,98,1.5007,163.63,22.2796,0.9956,1,256,384,123
B0_rank,82,2.5302,70.99,22.4701,0.9953,1,256,384,123
B+E_rank,100,2.3122,67.41,22.5511,0.9957,1,256,384,123
B+W_rank,99,1.5007,163.63,22.2519,0.9956,1,256,384,123
B+SE_rank,92,2.4644,70.68,22.6849,0.9957,1,256,384,123
B0_rank,83,2.5302,70.99,22.7016,0.9955,1,256,384,123
B+W_rank,100,1.5007,163.63,22.2438,0.9956,1,256,384,123
B+SE_rank,93,2.4644,70.68,22.4644,0.9957,1,256,384,123
B0_rank,84,2.5302,70.99,22.5378,0.9952,1,256,384,123
B+SE_rank,94,2.4644,70.68,22.6331,0.9958,1,256,384,123
B0_rank,85,2.5302,70.99,22.5977,0.9954,1,256,384,123
B+SE_rank,95,2.4644,70.68,22.5623,0.9957,1,256,384,123
B0_rank,86,2.5302,70.99,22.5118,0.9954,1,256,384,123
B+SE_rank,96,2.4644,70.68,22.4731,0.9957,1,256,384,123
B0_rank,87,2.5302,70.99,22.4123,0.9956,1,256,384,123
B+SE_rank,97,2.4644,70.68,22.5252,0.9957,1,256,384,123
B0_rank,88,2.5302,70.99,22.5280,0.9956,1,256,384,123
B+SE_rank,98,2.4644,70.68,22.5284,0.9957,1,256,384,123
B0_rank,89,2.5302,70.99,22.7060,0.9954,1,256,384,123
B+SE_rank,99,2.4644,70.68,22.5199,0.9957,1,256,384,123
B0_rank,90,2.5302,70.99,22.5188,0.9954,1,256,384,123
B+SE_rank,100,2.4644,70.68,22.4852,0.9957,1,256,384,123
B0_rank,91,2.5302,70.99,22.4548,0.9955,1,256,384,123
B0_rank,92,2.5302,70.99,22.5021,0.9954,1,256,384,123
B0_rank,93,2.5302,70.99,22.5728,0.9954,1,256,384,123
B0_rank,94,2.5302,70.99,22.6172,0.9954,1,256,384,123
B0_rank,95,2.5302,70.99,22.6325,0.9954,1,256,384,123
B0_rank,96,2.5302,70.99,22.5486,0.9954,1,256,384,123
B0_rank,97,2.5302,70.99,22.4534,0.9954,1,256,384,123
B0_rank,98,2.5302,70.99,22.5304,0.9954,1,256,384,123
B0_rank,99,2.5302,70.99,22.5424,0.9953,1,256,384,123
B0_rank,100,2.5302,70.99,22.5149,0.9954,1,256,384,123
